player,player_team,opposing_team,game_id,season,points,position,avg_points_position
Yovel Zoosman,MACCABI FOX TEL AVIV,REAL MADRID,E2018_042,2018,0,Forward,49.0
Alexander Tyus-Cecchini,MACCABI FOX TEL AVIV,REAL MADRID,E2018_042,2018,8,Forward,49.0
Vyacheslav Zaytsev,KHIMKI MOSCOW REGION,REAL MADRID,E2018_053,2018,1,Forward,50.0
Egor Vyaltsev,KHIMKI MOSCOW REGION,REAL MADRID,E2018_053,2018,0,Forward,50.0
Tony Crocker,KHIMKI MOSCOW REGION,REAL MADRID,E2018_053,2018,16,Forward,50.0
Andrey Zubkov,KHIMKI MOSCOW REGION,REAL MADRID,E2018_053,2018,4,Forward,50.0
Anthony Gill,KHIMKI MOSCOW REGION,REAL MADRID,E2018_053,2018,16,Forward,50.0
Dj Strawberry,HERBALIFE GRAN CANARIA,REAL MADRID,E2018_060,2018,20,Forward,48.142857142857146
Albert Oliver,HERBALIFE GRAN CANARIA,REAL MADRID,E2018_060,2018,0,Forward,48.142857142857146
Clevin Hannah,HERBALIFE GRAN CANARIA,REAL MADRID,E2018_060,2018,7,Forward,48.142857142857146
Ondrej Balvin,HERBALIFE GRAN CANARIA,REAL MADRID,E2018_060,2018,6,Forward,48.142857142857146
Eulis Baez,HERBALIFE GRAN CANARIA,REAL MADRID,E2018_060,2018,14,Forward,48.142857142857146
Anzejs Pasecniks,HERBALIFE GRAN CANARIA,REAL MADRID,E2018_060,2018,2,Forward,48.142857142857146
Xavier Rabaseda,HERBALIFE GRAN CANARIA,REAL MADRID,E2018_060,2018,5,Forward,48.142857142857146
Nikola Radicevic,HERBALIFE GRAN CANARIA,REAL MADRID,E2018_060,2018,2,Forward,48.142857142857146
Kim Tillie,HERBALIFE GRAN CANARIA,REAL MADRID,E2018_060,2018,6,Forward,48.142857142857146
Christopher Evans,HERBALIFE GRAN CANARIA,REAL MADRID,E2018_060,2018,5,Forward,48.142857142857146
Janis Timma,OLYMPIACOS PIRAEUS,REAL MADRID,E2018_066,2018,0,Forward,50.5
Kostas Papanikolaou,OLYMPIACOS PIRAEUS,REAL MADRID,E2018_066,2018,3,Forward,50.5
Georgios Printezis,OLYMPIACOS PIRAEUS,REAL MADRID,E2018_066,2018,7,Forward,50.5
Vangelis Mantzaris,OLYMPIACOS PIRAEUS,REAL MADRID,E2018_066,2018,0,Forward,50.5
Giorgos Bogris,OLYMPIACOS PIRAEUS,REAL MADRID,E2018_066,2018,0,Forward,50.5
Semen Antonov,CSKA MOSCOW,REAL MADRID,E2018_077,2018,0,Forward,46.0
Will Clyburn,CSKA MOSCOW,REAL MADRID,E2018_077,2018,18,Forward,46.0
Joel Bolomboy,CSKA MOSCOW,REAL MADRID,E2018_077,2018,0,Forward,46.0
Nikita Kurbanov,CSKA MOSCOW,REAL MADRID,E2018_077,2018,2,Forward,46.0
Brock Motum,ANADOLU EFES ISTANBUL,REAL MADRID,E2018_086,2018,2,Forward,43.4
Adrien Moerman,ANADOLU EFES ISTANBUL,REAL MADRID,E2018_086,2018,19,Forward,43.4
James Anderson,ANADOLU EFES ISTANBUL,REAL MADRID,E2018_086,2018,3,Forward,43.4
Victor Claver,FC BARCELONA LASSA,REAL MADRID,E2018_093,2018,8,Forward,41.63636363636363
Kyle Kuric,FC BARCELONA LASSA,REAL MADRID,E2018_093,2018,5,Forward,41.63636363636363
Rolands Smits,FC BARCELONA LASSA,REAL MADRID,E2018_093,2018,2,Forward,41.63636363636363
Jaka Blazic,FC BARCELONA LASSA,REAL MADRID,E2018_093,2018,0,Forward,41.63636363636363
Adam Hanga,FC BARCELONA LASSA,REAL MADRID,E2018_093,2018,8,Forward,41.63636363636363
Chris Singleton,FC BARCELONA LASSA,REAL MADRID,E2018_093,2018,0,Forward,41.63636363636363
Deshaun Thomas,PANATHINAIKOS OPAP ATHENS,REAL MADRID,E2018_104,2018,2,Forward,40.083333333333336
Matthew Lojeski,PANATHINAIKOS OPAP ATHENS,REAL MADRID,E2018_104,2018,2,Forward,40.083333333333336
Keith Langford,PANATHINAIKOS OPAP ATHENS,REAL MADRID,E2018_104,2018,20,Forward,40.083333333333336
Konstantinos Mitoglou,PANATHINAIKOS OPAP ATHENS,REAL MADRID,E2018_104,2018,4,Forward,40.083333333333336
Stephane Yann Lasme,PANATHINAIKOS OPAP ATHENS,REAL MADRID,E2018_104,2018,2,Forward,40.083333333333336
Thanasis Antetokounmpo,PANATHINAIKOS OPAP ATHENS,REAL MADRID,E2018_104,2018,2,Forward,40.083333333333336
Nemanja Dangubic,FC BAYERN MUNICH,REAL MADRID,E2018_112,2018,2,Forward,39.46153846153846
Robin Amaize,FC BAYERN MUNICH,REAL MADRID,E2018_112,2018,0,Forward,39.46153846153846
Derrick Williams,FC BAYERN MUNICH,REAL MADRID,E2018_112,2018,7,Forward,39.46153846153846
Danilo Barthel,FC BAYERN MUNICH,REAL MADRID,E2018_112,2018,10,Forward,39.46153846153846
Vladimir Lucic,FC BAYERN MUNICH,REAL MADRID,E2018_112,2018,7,Forward,39.46153846153846
Marvin Ogunsipe,FC BAYERN MUNICH,REAL MADRID,E2018_112,2018,2,Forward,39.46153846153846
Nikola Kalinic,FENERBAHCE ISTANBUL,REAL MADRID,E2018_117,2018,3,Forward,38.642857142857146
Nicolo Melli,FENERBAHCE ISTANBUL,REAL MADRID,E2018_117,2018,4,Forward,38.642857142857146
Sinan Guler,FENERBAHCE ISTANBUL,REAL MADRID,E2018_117,2018,0,Forward,38.642857142857146
Luigi Datome,FENERBAHCE ISTANBUL,REAL MADRID,E2018_117,2018,17,Forward,38.642857142857146
Erick Green,FENERBAHCE ISTANBUL,REAL MADRID,E2018_117,2018,0,Forward,38.642857142857146
Johnny O'Bryant,MACCABI FOX TEL AVIV,REAL MADRID,E2018_123,2018,6,Forward,37.666666666666664
Kendrick Ray,MACCABI FOX TEL AVIV,REAL MADRID,E2018_123,2018,4,Forward,37.666666666666664
Alexander Tyus-Cecchini,MACCABI FOX TEL AVIV,REAL MADRID,E2018_123,2018,17,Forward,37.666666666666664
Angelo Caloiaro,MACCABI FOX TEL AVIV,REAL MADRID,E2018_123,2018,13,Forward,37.666666666666664
Deandre Kane,MACCABI FOX TEL AVIV,REAL MADRID,E2018_123,2018,3,Forward,37.666666666666664
Nimrod Levi,MACCABI FOX TEL AVIV,REAL MADRID,E2018_123,2018,3,Forward,37.666666666666664
Jake Cohen,MACCABI FOX TEL AVIV,REAL MADRID,E2018_123,2018,4,Forward,37.666666666666664
