player,game_id,Last_2_Avg_minutes,Last_2_Avg_points,Last_2_Avg_two_points_made,Last_2_Avg_two_points_attempted,Last_2_Avg_three_points_made,Last_2_Avg_three_points_attempted,Last_2_Avg_free_throws_made,Last_2_Avg_free_throws_attempted,Last_2_Avg_offensive_rebounds,Last_2_Avg_defensive_rebounds,Last_2_Avg_total_rebounds,Last_2_Avg_assists,Last_2_Avg_steals,Last_2_Avg_turnovers,Last_2_Avg_blocks_favour,Last_2_Avg_blocks_against,Last_2_Avg_fouls_committed,Last_2_Avg_fouls_received,Last_2_Avg_valuation,Last_2_Avg_ts%
Louis Labeyrie,E2019_164,20.3,4.0,2.0,2.0,0.0,1.0,0.0,0.0,3.0,3.0,6.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,10.0,0.6666666666666666
Chris Singleton,E2019_165,22.3,7.0,1.0,1.5,1.0,1.5,2.0,2.0,1.0,1.5,2.5,1.0,0.5,1.5,0.0,0.5,2.0,1.5,7.5,1.1568047337278107
Jordan Mickey,E2019_163,22.174999999999997,10.0,3.0,4.0,0.5,1.5,2.5,3.0,0.5,3.5,4.0,0.0,0.5,3.0,3.0,0.0,3.0,2.0,11.0,0.7975676683716966
Tyler Cavanaugh,E2019_167,,,,,,,,,,,,,,,,,,,,
Vassilis Spanoulis,E2019_167,25.85,11.0,1.0,2.0,2.0,6.0,3.0,4.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,2.0,3.0,8.0,0.5635245901639344
Jonas Jerebko,E2019_164,26.25,14.0,1.0,5.0,4.0,7.0,0.0,0.0,1.0,3.0,4.0,1.0,2.0,0.0,1.0,1.0,3.0,1.0,12.0,0.5833333333333334
Charles Kahudi,E2019_166,24.966666666666665,7.0,0.0,3.0,2.0,5.0,1.0,1.0,1.0,3.0,4.0,3.0,0.0,1.0,0.0,1.0,4.0,1.0,3.0,0.4146919431279621
Tonye Jekiri,E2019_166,26.733333333333334,12.0,4.0,8.0,0.0,0.0,4.0,5.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,9.0,0.5882352941176471
Jordan Taylor,E2019_166,17.733333333333334,3.0,0.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,0.3
Luigi Datome,E2019_166,14.333333333333334,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,2.0,0.0,0.0,5.0,1.0,2.0,0.75
Jan Vesely,E2019_166,,,,,,,,,,,,,,,,,,,,
Derrick Williams,E2019_166,34.88333333333333,17.0,4.0,5.0,2.0,2.0,3.0,3.0,0.0,6.0,6.0,0.0,1.0,1.0,4.0,0.0,2.0,2.0,26.0,1.0216346153846154
Adreian Payne,E2019_166,1.7666666666666666,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0
Anthony Gill,E2019_164,19.9,7.0,3.0,4.0,0.0,0.0,1.0,1.0,2.0,4.0,6.0,0.0,0.0,1.0,2.0,0.0,4.0,4.0,13.0,0.7882882882882882
Nikola Kalinic,E2019_166,24.5,6.0,1.0,1.0,0.0,1.0,4.0,4.0,0.0,4.0,4.0,2.0,1.0,4.0,0.0,0.0,1.0,5.0,12.0,0.797872340425532
Devin Booker,E2019_164,31.05,14.0,4.0,9.0,1.0,2.0,3.0,3.0,4.0,6.0,10.0,2.0,1.0,3.0,0.0,0.0,4.0,2.0,16.0,0.5681818181818181
Sam Rossom Van,E2019_164,,,,,,,,,,,,,,,,,,,,
Brock Motum,E2019_164,15.225,7.0,2.0,3.5,1.0,3.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,4.5,0.5416666666666667
