player,points_pros,date,player_team
Rokas Jokubaitis,5.5,2023-04-28,BAR
Nicolas Laprovittola,10.5,2023-04-28,BAR
Nikola Mirotic,16.5,2023-04-28,BAR
Alex Abrines,7.5,2023-04-28,BAR
Lukas Lekavicius,6.5,2023-04-28,ZAL
Achille Polonara,5.5,2023-04-28,ZAL
Ignas Brazdeikis,12.5,2023-04-28,ZAL
Rolands Smits,9.5,2023-04-28,ZAL
Edgaras Ulanovas,8.5,2023-04-28,ZAL
Isaiah Canaan,6.5,2023-04-28,OLY
Thomas Walkup,8.5,2023-04-28,OLY
Moustapha Fall,7.5,2023-04-28,OLY
Shaquielle Mckissic,8.5,2023-04-28,OLY
Kostas Sloukas,10.5,2023-04-28,OLY
Sasha Vezenkov,18.5,2023-04-28,OLY
Nigel Hayes,11.5,2023-04-28,ULK
Nick Calathes,8.5,2023-04-28,ULK
Marko Guduric,11.5,2023-04-28,ULK
Lukas Lekavicius,6.5,2023-05-03,ZAL
Achille Polonara,5.5,2023-05-03,ZAL
Ignas Brazdeikis,12.5,2023-05-03,ZAL
Rolands Smits,10.5,2023-05-03,ZAL
Isaiah Taylor,7.5,2023-05-03,ZAL
Edgaras Ulanovas,9.5,2023-05-03,ZAL
Jan Vesely,9.5,2023-05-03,BAR
Tomas Satoransky,8.5,2023-05-03,BAR
Nikola Kalinic,6.5,2023-05-03,BAR
Sertac Sanli,6.5,2023-05-03,BAR
Rokas Jokubaitis,5.5,2023-05-03,BAR
Nicolas Laprovittola,9.5,2023-05-03,BAR
Kyle Kuric,5.5,2023-05-03,BAR
Nikola Mirotic,16.5,2023-05-03,BAR
Tyler Dorsey,8.5,2023-05-03,ULK
Nick Calathes,7.5,2023-05-03,ULK
Johnathan Motley,14.5,2023-05-03,ULK
Marko Guduric,10.5,2023-05-03,ULK
Thomas Walkup,7.5,2023-05-03,OLY
Moustapha Fall,6.5,2023-05-03,OLY
Shaquielle Mckissic,7.5,2023-05-03,OLY
Kostas Sloukas,10.5,2023-05-03,OLY
Kostas Papanikolaou,7.5,2023-05-03,OLY
Sasha Vezenkov,18.5,2023-05-03,OLY
Tyler Dorsey,10.5,2023-05-05,ULK
Nigel Hayes,10.5,2023-05-05,ULK
Johnathan Motley,13.5,2023-05-05,ULK
Marko Guduric,10.5,2023-05-05,ULK
Thomas Walkup,7.5,2023-05-05,OLY
Moustapha Fall,7.5,2023-05-05,OLY
Kostas Sloukas,12.5,2023-05-05,OLY
Kostas Papanikolaou,7.5,2023-05-05,OLY
Sasha Vezenkov,18.5,2023-05-05,OLY
Elie Okobo,11.5,2023-05-10,MCO
Jordan Loyd,11.5,2023-05-10,MCO
Alpha Diallo,9.5,2023-05-10,MCO
Mike James,16.5,2023-05-10,MCO
Donatas Motiejunas,8.5,2023-05-10,MCO
Bonzie Colson,10.5,2023-05-10,TEL
Josh Nebo,7.5,2023-05-10,TEL
Wade Iv Baldwin,16.5,2023-05-10,TEL
Jarell Martin,5.5,2023-05-10,TEL
Rudy Fernandez,5.5,2023-05-10,MAD
Dzanan Musa,13.5,2023-05-10,MAD
Nigel Williams-Goss,7.5,2023-05-10,MAD
Walter Tavares,13.5,2023-05-10,MAD
Ioannis Papapetrou,5.5,2023-05-10,PAR
William James Nunnally,9.5,2023-05-10,PAR
Zach Leday,13.5,2023-05-10,PAR
Mathias Lessort,10.5,2023-05-10,PAR
Alen Smailagic,5.5,2023-05-10,PAR
Yam Madar,5.5,2023-05-10,PAR
Thomas Walkup,7.5,2023-05-19,OLY
Moustapha Fall,7.5,2023-05-19,OLY
Shaquielle Mckissic,8.5,2023-05-19,OLY
Kostas Sloukas,12.5,2023-05-19,OLY
Kostas Papanikolaou,7.5,2023-05-19,OLY
Elie Okobo,10.5,2023-05-19,MCO
Jordan Loyd,12.5,2023-05-19,MCO
Alpha Diallo,9.5,2023-05-19,MCO
Mike James,17.5,2023-05-19,MCO
Donatas Motiejunas,8.5,2023-05-19,MCO
Isaiah Canaan,6.5,2023-05-19,OLY
John Brown,5.5,2023-05-19,MCO
Jan Vesely,9.5,2023-05-19,BAR
Tomas Satoransky,8.5,2023-05-19,BAR
Nikola Kalinic,6.5,2023-05-19,BAR
Nicolas Laprovittola,10.5,2023-05-19,BAR
Nikola Mirotic,17.5,2023-05-19,BAR
Alex Abrines,7.5,2023-05-19,BAR
Sergio Llull,5.5,2023-05-19,MAD
Dzanan Musa,15.5,2023-05-19,MAD
Mario Hezonja,12.5,2023-05-19,MAD
Walter Tavares,13.5,2023-05-19,MAD
Sertac Sanli,5.5,2023-05-19,BAR
Rokas Jokubaitis,4.5,2023-05-19,BAR
Adam Hanga,5.5,2023-05-19,MAD
Shaquielle Mckissic,8.5,2023-05-21,OLY
Kostas Sloukas,11.5,2023-05-21,OLY
Kostas Papanikolaou,9.5,2023-05-21,OLY
Sergio Llull,5.5,2023-05-21,MAD
Dzanan Musa,12.5,2023-05-21,MAD
Sergio Rodriguez,5.5,2023-05-21,MAD
Mario Hezonja,12.5,2023-05-21,MAD
Nigel Williams-Goss,8.5,2023-05-21,MAD
Walter Tavares,14.5,2023-05-21,MAD
Shane Larkin,14.5,2023-10-12,IST
Ante Zizic,8.5,2023-10-12,IST
Will Clyburn,14.5,2023-10-12,IST
Facundo Campazzo,13.5,2023-10-12,MAD
Sergio Llull,7.5,2023-10-12,MAD
Dzanan Musa,14.5,2023-10-12,MAD
Mario Hezonja,9.5,2023-10-12,MAD
Guerschon Yabusele,11.5,2023-10-12,MAD
Rodrigue Beaubois,9.5,2023-10-12,IST
Vincent Poirier,7.5,2023-10-12,MAD
Louis Olinde,9.5,2023-10-12,BER
Tadas Sedekerskis,6.5,2023-10-12,BAS
Chima Moneke,11.5,2023-10-12,BAS
Markus Howard,18.5,2023-10-12,BAS
Vanja Marinkovic,7.5,2023-10-12,BAS
Matthew Costello,7.5,2023-10-12,BAS
Timothe Luwawu-Cabarrot,10.5,2023-10-12,ASV
Paris Lee,8.5,2023-10-12,ASV
Nando Colo De,13.5,2023-10-12,ASV
Danilo Andusic,5.5,2023-10-12,PAR
William James Nunnally,9.5,2023-10-12,PAR
Alen Smailagic,8.5,2023-10-12,PAR
Aleksa Avramovic,9.5,2023-10-12,PAR
Kevin Punter,15.5,2023-10-12,PAR
Mathias Lessort,12.5,2023-10-12,PAN
Marius Grigonis,12.5,2023-10-12,PAN
Carsen Edwards,10.5,2023-10-12,MUN
Devin Booker,9.5,2023-10-12,MUN
Isaac Bonga,10.5,2023-10-12,MUN
Andreas Obst,9.5,2023-10-12,MUN
Luca Vildoza,10.5,2023-10-12,PAN
Jaron Blossomgame,6.5,2023-10-13,MCO
John Brown,7.5,2023-10-13,MCO
Elie Okobo,12.5,2023-10-13,MCO
Alpha Diallo,9.5,2023-10-13,MCO
Mike James,17.5,2023-10-13,MCO
Donatas Motiejunas,7.5,2023-10-13,MCO
Ognjen Dobric,9.5,2023-10-13,VIR
Jordan Mickey,10.5,2023-10-13,VIR
Daniel Hackett,7.5,2023-10-13,VIR
Tornike Shengelia,12.5,2023-10-13,VIR
Isaia Cordinier,9.5,2023-10-13,VIR
Marco Belinelli,9.5,2023-10-13,VIR
Tomas Dimsa,6.5,2023-10-13,ZAL
Keenan Evans,14.5,2023-10-13,ZAL
Rolands Smits,9.5,2023-10-13,ZAL
Kevarrius Hayes,5.5,2023-10-13,ZAL
Edgaras Ulanovas,10.5,2023-10-13,ZAL
Mike Tobey,10.5,2023-10-13,RED
Rokas Giedraitis,11.5,2023-10-13,RED
Adam Hanga,6.5,2023-10-13,RED
Marko Simonovic,6.5,2023-10-13,RED
Nemanja Nedovic,12.5,2023-10-13,RED
Nikola Milutinov,13.5,2023-10-13,OLY
Alec Peters,9.5,2023-10-13,OLY
Isaiah Canaan,10.5,2023-10-13,OLY
Thomas Walkup,9.5,2023-10-13,OLY
Kostas Papanikolaou,7.5,2023-10-13,OLY
Jan Vesely,9.5,2023-10-13,BAR
Tomas Satoransky,8.5,2023-10-13,BAR
Alex Abrines,6.5,2023-10-13,BAR
Brandon Davies,11.5,2023-10-13,PAM
Chris Jones,13.5,2023-10-13,PAM
Tyler Dorsey,12.5,2023-10-13,ULK
Georgios Papagiannis,9.5,2023-10-13,ULK
Nigel Hayes,9.5,2023-10-13,ULK
Scottie Wilbekin,14.5,2023-10-13,ULK
Marko Guduric,10.5,2023-10-13,ULK
Milos Teodosic,8.5,2023-10-18,RED
Nemanja Nedovic,11.5,2023-10-18,RED
John Brown,6.5,2023-10-18,MCO
Elie Okobo,12.5,2023-10-18,MCO
Alpha Diallo,9.5,2023-10-18,MCO
Donatas Motiejunas,7.5,2023-10-18,MCO
Dejan Davidovac,5.5,2023-10-18,RED
Mike Tobey,7.5,2023-10-18,RED
Adam Hanga,6.5,2023-10-18,RED
Joel Bolomboy,4.5,2023-10-18,RED
Ognjen Dobric,8.5,2023-10-18,VIR
Jordan Mickey,9.5,2023-10-18,VIR
Daniel Hackett,7.5,2023-10-18,VIR
Tornike Shengelia,12.5,2023-10-18,VIR
Marco Belinelli,9.5,2023-10-18,VIR
Gabriele Procida,6.5,2023-10-18,BER
Louis Olinde,9.5,2023-10-18,BER
Brandon Davies,11.5,2023-10-18,PAM
Chris Jones,12.5,2023-10-18,PAM
Roman Sorkin,7.5,2023-10-18,TEL
Lorenzo Brown,16.5,2023-10-18,TEL
Bonzie Colson,11.5,2023-10-18,TEL
Yam Madar,7.5,2023-10-19,ULK
Georgios Papagiannis,8.5,2023-10-19,ULK
Scottie Wilbekin,13.5,2023-10-19,ULK
Johnathan Motley,11.5,2023-10-19,ULK
Paris Lee,9.5,2023-10-19,ASV
Joffrey Lauvergne,11.5,2023-10-19,ASV
Nando Colo De,13.5,2023-10-19,ASV
Nick Calathes,7.5,2023-10-19,ULK
Alec Peters,9.5,2023-10-19,OLY
Isaiah Canaan,9.5,2023-10-19,OLY
Thomas Walkup,10.5,2023-10-19,OLY
Kostas Papanikolaou,7.5,2023-10-19,OLY
Danilo Andusic,5.5,2023-10-19,PAR
Zach Leday,11.5,2023-10-19,PAR
Aleksa Avramovic,10.5,2023-10-19,PAR
Kevin Punter,14.5,2023-10-19,PAR
Giannoulis Larentzakis,6.5,2023-10-19,OLY
Tadas Sedekerskis,8.5,2023-10-19,BAS
Markus Howard,15.5,2023-10-19,BAS
Vanja Marinkovic,8.5,2023-10-19,BAS
Matthew Costello,9.5,2023-10-19,BAS
Rolands Smits,10.5,2023-10-19,ZAL
Kevarrius Hayes,5.5,2023-10-19,ZAL
Edgaras Ulanovas,9.5,2023-10-19,ZAL
Facundo Campazzo,12.5,2023-10-19,MAD
Sergio Llull,6.5,2023-10-19,MAD
Dzanan Musa,12.5,2023-10-19,MAD
Gabriel Deck,10.5,2023-10-19,MAD
Walter Tavares,10.5,2023-10-19,MAD
Kevin Pangos,9.5,2023-10-19,MIL
Johannes Voigtmann,7.5,2023-10-19,MIL
Nicolo Melli,6.5,2023-10-19,MIL
Shavon Shields,12.5,2023-10-19,MIL
Vincent Poirier,7.5,2023-10-19,MAD
John Brown,7.5,2023-10-20,MCO
Elie Okobo,11.5,2023-10-20,MCO
Alpha Diallo,9.5,2023-10-20,MCO
Mike James,17.5,2023-10-20,MCO
Donatas Motiejunas,7.5,2023-10-20,MCO
Louis Olinde,9.5,2023-10-20,BER
Shane Larkin,14.5,2023-10-20,IST
Ante Zizic,8.5,2023-10-20,IST
Will Clyburn,15.5,2023-10-20,IST
Chris Jones,12.5,2023-10-20,PAM
Jerian Grant,8.5,2023-10-20,PAN
Luca Vildoza,8.5,2023-10-20,PAN
Mathias Lessort,13.5,2023-10-20,PAN
Kostas Sloukas,11.5,2023-10-20,PAN
Marius Grigonis,10.5,2023-10-20,PAN
Jasiel Rivero,7.5,2023-10-20,TEL
Lorenzo Brown,17.5,2023-10-20,TEL
Bonzie Colson,13.5,2023-10-20,TEL
Josh Nebo,8.5,2023-10-20,TEL
Jordan Mickey,11.5,2023-10-20,VIR
Tornike Shengelia,13.5,2023-10-20,VIR
Isaia Cordinier,7.5,2023-10-20,VIR
Marco Belinelli,10.5,2023-10-20,VIR
Joel Bolomboy,5.5,2023-10-20,RED
Rokas Giedraitis,12.5,2023-10-20,RED
Adam Hanga,7.5,2023-10-20,RED
Nemanja Nedovic,12.5,2023-10-20,RED
Jan Vesely,9.5,2023-10-20,BAR
Tomas Satoransky,7.5,2023-10-20,BAR
Nikola Kalinic,6.5,2023-10-20,BAR
Nicolas Laprovittola,13.5,2023-10-20,BAR
Alex Abrines,6.5,2023-10-20,BAR
Carsen Edwards,11.5,2023-10-20,MUN
Devin Booker,9.5,2023-10-20,MUN
Andreas Obst,7.5,2023-10-20,MUN
Nick Weiler-Babb,6.5,2023-10-20,MUN
Danilo Andusic,6.5,2023-10-26,PAR
Zach Leday,11.5,2023-10-26,PAR
Aleksa Avramovic,9.5,2023-10-26,PAR
Kevin Punter,13.5,2023-10-26,PAR
Mike Tobey,7.5,2023-10-26,RED
Shabazz Napier,14.5,2023-10-26,RED
Joel Bolomboy,6.5,2023-10-26,RED
Adam Hanga,6.5,2023-10-26,RED
Milos Teodosic,8.5,2023-10-26,RED
Matt Thomas,9.5,2023-10-26,BER
Gabriele Procida,6.5,2023-10-26,BER
Louis Olinde,9.5,2023-10-26,BER
Kevin Pangos,9.5,2023-10-26,MIL
Johannes Voigtmann,6.5,2023-10-26,MIL
Shavon Shields,13.5,2023-10-26,MIL
Devon Hall,6.5,2023-10-26,MIL
Facundo Campazzo,13.5,2023-10-26,MAD
Mario Hezonja,8.5,2023-10-26,MAD
Gabriel Deck,9.5,2023-10-26,MAD
Walter Tavares,11.5,2023-10-26,MAD
Jan Vesely,9.5,2023-10-26,BAR
Tomas Satoransky,7.5,2023-10-26,BAR
Nikola Kalinic,6.5,2023-10-26,BAR
Rokas Jokubaitis,5.5,2023-10-26,BAR
Alex Abrines,6.5,2023-10-26,BAR
Vincent Poirier,7.5,2023-10-26,MAD
John Brown,6.5,2023-10-26,MCO
Elie Okobo,11.5,2023-10-26,MCO
Alpha Diallo,9.5,2023-10-26,MCO
Donatas Motiejunas,7.5,2023-10-26,MCO
Tamir Blatt,7.5,2023-10-26,TEL
Lorenzo Brown,16.5,2023-10-26,TEL
Bonzie Colson,13.5,2023-10-26,TEL
Josh Nebo,8.5,2023-10-26,TEL
Nigel Williams-Goss,10.5,2023-10-26,OLY
Nikola Milutinov,13.5,2023-10-26,OLY
Alec Peters,10.5,2023-10-26,OLY
Kostas Papanikolaou,7.5,2023-10-26,OLY
Rodrigue Beaubois,11.5,2023-10-26,IST
Shane Larkin,14.5,2023-10-26,IST
Darius Thompson,10.5,2023-10-26,IST
Will Clyburn,14.5,2023-10-26,IST
Petr Cornelie,5.5,2023-10-26,MCO
Roman Sorkin,5.5,2023-10-26,TEL
Giannoulis Larentzakis,7.5,2023-10-26,OLY
Ante Zizic,8.5,2023-10-26,IST
Tomas Dimsa,5.5,2023-10-27,ZAL
Keenan Evans,13.5,2023-10-27,ZAL
Kevarrius Hayes,5.5,2023-10-27,ZAL
Edgaras Ulanovas,9.5,2023-10-27,ZAL
Brandon Davies,10.5,2023-10-27,PAM
Chris Jones,11.5,2023-10-27,PAM
Iffe Lundberg,8.5,2023-10-27,VIR
Nando Colo De,12.5,2023-10-27,ASV
Ognjen Dobric,7.5,2023-10-27,VIR
Daniel Hackett,6.5,2023-10-27,VIR
Tornike Shengelia,14.5,2023-10-27,VIR
Isaia Cordinier,8.5,2023-10-27,VIR
Marco Belinelli,10.5,2023-10-27,VIR
Vanja Marinkovic,8.5,2023-10-27,BAS
Matthew Costello,10.5,2023-10-27,BAS
Luca Vildoza,9.5,2023-10-27,PAN
Mathias Lessort,13.5,2023-10-27,PAN
Kostas Sloukas,12.5,2023-10-27,PAN
Tadas Sedekerskis,7.5,2023-10-27,BAS
Markus Howard,16.5,2023-10-27,BAS
Nick Weiler-Babb,5.5,2023-10-27,MUN
Georgios Papagiannis,8.5,2023-10-27,ULK
Nick Calathes,7.5,2023-10-27,ULK
Isaac Bonga,7.5,2023-10-27,MUN
Andreas Obst,7.5,2023-10-27,MUN
Nigel Hayes,10.5,2023-10-27,ULK
Scottie Wilbekin,14.5,2023-10-27,ULK
Johnathan Motley,12.5,2023-10-27,ULK
Maodo Lo,8.5,2023-10-31,MIL
Nikola Mirotic,17.5,2023-10-31,MIL
Kevin Pangos,7.5,2023-10-31,MIL
Johannes Voigtmann,6.5,2023-10-31,MIL
Devon Hall,5.5,2023-10-31,MIL
Shavon Shields,14.5,2023-10-31,MIL
Jasiel Rivero,5.5,2023-10-31,TEL
Lorenzo Brown,15.5,2023-10-31,TEL
Josh Nebo,8.5,2023-10-31,TEL
Shabazz Napier,14.5,2023-11-02,RED
Joel Bolomboy,8.5,2023-11-02,RED
Adam Hanga,6.5,2023-11-02,RED
Milos Teodosic,9.5,2023-11-02,RED
Devin Booker,9.5,2023-11-02,MUN
Isaac Bonga,7.5,2023-11-02,MUN
Andreas Obst,8.5,2023-11-02,MUN
Leandro Bolmaro,6.5,2023-11-02,MUN
Nigel Hayes,9.5,2023-11-02,ULK
Scottie Wilbekin,14.5,2023-11-02,ULK
Johnathan Motley,10.5,2023-11-02,ULK
Marko Guduric,11.5,2023-11-02,ULK
Nigel Williams-Goss,10.5,2023-11-02,OLY
Nikola Milutinov,11.5,2023-11-02,OLY
Alec Peters,10.5,2023-11-02,OLY
Isaiah Canaan,9.5,2023-11-02,OLY
Thomas Walkup,9.5,2023-11-02,OLY
Georgios Papagiannis,7.5,2023-11-02,ULK
Nick Calathes,5.5,2023-11-02,ULK
Giannoulis Larentzakis,5.5,2023-11-02,OLY
Keenan Evans,13.5,2023-11-02,ZAL
Rolands Smits,11.5,2023-11-02,ZAL
Kevarrius Hayes,5.5,2023-11-02,ZAL
Edgaras Ulanovas,8.5,2023-11-02,ZAL
Joffrey Lauvergne,11.5,2023-11-02,ASV
Nando Colo De,12.5,2023-11-02,ASV
Tomas Dimsa,6.5,2023-11-02,ZAL
Youssoupha Fall,6.5,2023-11-02,ASV
Nikola Mirotic,18.5,2023-11-02,MIL
Johannes Voigtmann,8.5,2023-11-02,MIL
Nicolo Melli,5.5,2023-11-02,MIL
Shavon Shields,15.5,2023-11-02,MIL
Elie Okobo,10.5,2023-11-02,MCO
Alpha Diallo,9.5,2023-11-02,MCO
Mike James,17.5,2023-11-02,MCO
Brandon Davies,10.5,2023-11-02,PAM
Jared Harper,10.5,2023-11-02,PAM
Matt Thomas,9.5,2023-11-02,BER
Louis Olinde,9.5,2023-11-02,BER
Maodo Lo,7.5,2023-11-02,MIL
Stefan Jovic,4.5,2023-11-02,PAM
Jan Vesely,9.5,2023-11-03,BAR
Ognjen Dobric,6.5,2023-11-03,VIR
Ante Zizic,7.5,2023-11-03,IST
Danilo Andusic,7.5,2023-11-03,PAR
Elijah Bryant,9.5,2023-11-03,IST
Tomas Satoransky,9.5,2023-11-03,BAR
Nikola Kalinic,7.5,2023-11-03,BAR
Alex Abrines,7.5,2023-11-03,BAR
Jerian Grant,10.5,2023-11-03,PAN
Mathias Lessort,13.5,2023-11-03,PAN
Konstantinos Mitoglou,10.5,2023-11-03,PAN
Marius Grigonis,10.5,2023-11-03,PAN
Tadas Sedekerskis,8.5,2023-11-03,BAS
William James Nunnally,11.5,2023-11-03,PAR
Zach Leday,11.5,2023-11-03,PAR
Alen Smailagic,10.5,2023-11-03,PAR
Aleksa Avramovic,11.5,2023-11-03,PAR
Jordan Mickey,10.5,2023-11-03,VIR
Tornike Shengelia,14.5,2023-11-03,VIR
Isaia Cordinier,9.5,2023-11-03,VIR
Marco Belinelli,11.5,2023-11-03,VIR
Darius Thompson,10.5,2023-11-03,IST
Will Clyburn,13.5,2023-11-03,IST
Gabriele Procida,5.5,2023-11-10,BER
Louis Olinde,9.5,2023-11-10,BER
Jerian Grant,9.5,2023-11-10,PAN
Mathias Lessort,12.5,2023-11-10,PAN
Konstantinos Mitoglou,11.5,2023-11-10,PAN
Kostas Sloukas,11.5,2023-11-10,PAN
Marius Grigonis,10.5,2023-11-10,PAN
Jan Vesely,10.5,2023-11-10,BAR
Tomas Satoransky,9.5,2023-11-10,BAR
Nikola Kalinic,7.5,2023-11-10,BAR
Alex Abrines,6.5,2023-11-10,BAR
Shabazz Napier,13.5,2023-11-10,RED
Joel Bolomboy,7.5,2023-11-10,RED
Rokas Giedraitis,9.5,2023-11-10,RED
Nemanja Nedovic,11.5,2023-11-10,RED
Nicolas Laprovittola,11.5,2023-11-10,BAR
John Brown,7.5,2023-11-10,MCO
Elie Okobo,10.5,2023-11-10,MCO
Alpha Diallo,10.5,2023-11-10,MCO
Mike James,18.5,2023-11-10,MCO
Donatas Motiejunas,7.5,2023-11-10,MCO
Paris Lee,7.5,2023-11-10,ASV
Nando Colo De,12.5,2023-11-10,ASV
Youssoupha Fall,8.5,2023-11-10,ASV
Elie Okobo,9.5,2023-11-14,MCO
Jordan Loyd,11.5,2023-11-14,MCO
Alpha Diallo,11.5,2023-11-14,MCO
Mike James,17.5,2023-11-14,MCO
Donatas Motiejunas,6.5,2023-11-14,MCO
Shane Larkin,12.5,2023-11-14,IST
Darius Thompson,10.5,2023-11-14,IST
Ante Zizic,8.5,2023-11-14,IST
Will Clyburn,13.5,2023-11-14,IST
Jasiel Rivero,8.5,2023-11-14,TEL
Lorenzo Brown,15.5,2023-11-14,TEL
Bonzie Colson,13.5,2023-11-14,TEL
Josh Nebo,8.5,2023-11-14,TEL
Alec Peters,11.5,2023-11-14,OLY
Isaiah Canaan,10.5,2023-11-14,OLY
Thomas Walkup,7.5,2023-11-14,OLY
Moustapha Fall,9.5,2023-11-14,OLY
Kostas Papanikolaou,7.5,2023-11-14,OLY
Semi Ojeleye,9.5,2023-11-14,PAM
Brandon Davies,10.5,2023-11-14,PAM
Xabi Lopez-Arostegui,6.5,2023-11-14,PAM
Facundo Campazzo,12.5,2023-11-14,MAD
Dzanan Musa,10.5,2023-11-14,MAD
Mario Hezonja,8.5,2023-11-14,MAD
Gabriel Deck,10.5,2023-11-14,MAD
Guerschon Yabusele,9.5,2023-11-14,MAD
Walter Tavares,11.5,2023-11-14,MAD
Daniel Hackett,6.5,2023-11-14,VIR
Tornike Shengelia,13.5,2023-11-14,VIR
Isaia Cordinier,7.5,2023-11-14,VIR
Marco Belinelli,12.5,2023-11-14,VIR
Nikola Mirotic,17.5,2023-11-14,MIL
Johannes Voigtmann,8.5,2023-11-14,MIL
Nicolo Melli,5.5,2023-11-14,MIL
Devon Hall,6.5,2023-11-14,MIL
Shavon Shields,14.5,2023-11-14,MIL
Dejan Davidovac,5.5,2023-11-14,RED
Shabazz Napier,12.5,2023-11-14,RED
Joel Bolomboy,8.5,2023-11-14,RED
Rokas Giedraitis,8.5,2023-11-14,RED
Milos Teodosic,9.5,2023-11-14,RED
Nemanja Nedovic,10.5,2023-11-14,RED
Tyler Dorsey,12.5,2023-11-14,ULK
Georgios Papagiannis,7.5,2023-11-14,ULK
Nigel Hayes,10.5,2023-11-14,ULK
Scottie Wilbekin,13.5,2023-11-14,ULK
Johnathan Motley,10.5,2023-11-14,ULK
Matt Thomas,9.5,2023-11-15,BER
Louis Olinde,9.5,2023-11-15,BER
Timothe Luwawu-Cabarrot,10.5,2023-11-15,ASV
Paris Lee,7.5,2023-11-15,ASV
Joffrey Lauvergne,11.5,2023-11-15,ASV
Nando Colo De,12.5,2023-11-15,ASV
Gabriele Procida,6.5,2023-11-15,BER
Youssoupha Fall,9.5,2023-11-15,ASV
Jerian Grant,7.5,2023-11-15,PAN
Mathias Lessort,11.5,2023-11-15,PAN
Kostas Sloukas,11.5,2023-11-15,PAN
Marius Grigonis,11.5,2023-11-15,PAN
Keenan Evans,14.5,2023-11-15,ZAL
Rolands Smits,11.5,2023-11-15,ZAL
Edgaras Ulanovas,8.5,2023-11-15,ZAL
Kevarrius Hayes,6.5,2023-11-15,ZAL
Carsen Edwards,11.5,2023-11-15,MUN
Devin Booker,9.5,2023-11-15,MUN
Mateusz Ponitka,4.5,2023-11-15,PAR
Danilo Andusic,7.5,2023-11-15,PAR
William James Nunnally,11.5,2023-11-15,PAR
Zach Leday,11.5,2023-11-15,PAR
Alen Smailagic,8.5,2023-11-15,PAR
Aleksa Avramovic,9.5,2023-11-15,PAR
Tadas Sedekerskis,9.5,2023-11-15,BAS
Chima Moneke,12.5,2023-11-15,BAS
Markus Howard,14.5,2023-11-15,BAS
Jan Vesely,9.5,2023-11-15,BAR
Tomas Satoransky,8.5,2023-11-15,BAR
Nikola Kalinic,7.5,2023-11-15,BAR
Nicolas Laprovittola,10.5,2023-11-15,BAR
Tamir Blatt,6.5,2023-11-16,TEL
Jasiel Rivero,8.5,2023-11-16,TEL
Lorenzo Brown,14.5,2023-11-16,TEL
Bonzie Colson,12.5,2023-11-16,TEL
Josh Nebo,8.5,2023-11-16,TEL
Tyler Dorsey,10.5,2023-11-16,ULK
Georgios Papagiannis,7.5,2023-11-16,ULK
Nigel Hayes,10.5,2023-11-16,ULK
Johnathan Motley,10.5,2023-11-16,ULK
James Iii Webb,6.5,2023-11-16,TEL
Isaiah Canaan,10.5,2023-11-16,OLY
Moustapha Fall,9.5,2023-11-16,OLY
Kostas Papanikolaou,7.5,2023-11-16,OLY
Dejan Davidovac,4.5,2023-11-16,RED
Joel Bolomboy,8.5,2023-11-16,RED
Rokas Giedraitis,9.5,2023-11-16,RED
Milos Teodosic,10.5,2023-11-16,RED
Nemanja Nedovic,12.5,2023-11-16,RED
Giannoulis Larentzakis,6.5,2023-11-16,OLY
Maodo Lo,9.5,2023-11-16,MIL
Nikola Mirotic,16.5,2023-11-16,MIL
Johannes Voigtmann,8.5,2023-11-16,MIL
Shavon Shields,14.5,2023-11-16,MIL
Rodrigue Beaubois,11.5,2023-11-16,IST
Shane Larkin,14.5,2023-11-16,IST
Darius Thompson,11.5,2023-11-16,IST
Will Clyburn,12.5,2023-11-16,IST
Nicolo Melli,5.5,2023-11-16,MIL
Ante Zizic,7.5,2023-11-16,IST
Dzanan Musa,10.5,2023-11-16,MAD
Mario Hezonja,8.5,2023-11-16,MAD
Gabriel Deck,10.5,2023-11-16,MAD
Walter Tavares,10.5,2023-11-16,MAD
Elie Okobo,9.5,2023-11-16,MCO
Jordan Loyd,12.5,2023-11-16,MCO
Alpha Diallo,10.5,2023-11-16,MCO
Mike James,15.5,2023-11-16,MCO
Donatas Motiejunas,7.5,2023-11-16,MCO
Keenan Evans,14.5,2023-11-17,ZAL
Rolands Smits,11.5,2023-11-17,ZAL
Kevarrius Hayes,6.5,2023-11-17,ZAL
Edgaras Ulanovas,8.5,2023-11-17,ZAL
Carsen Edwards,12.5,2023-11-17,MUN
Devin Booker,9.5,2023-11-17,MUN
Leandro Bolmaro,8.5,2023-11-17,MUN
Nick Weiler-Babb,5.5,2023-11-17,MUN
Youssoupha Fall,8.5,2023-11-17,ASV
Timothe Luwawu-Cabarrot,12.5,2023-11-17,ASV
Paris Lee,8.5,2023-11-17,ASV
Joffrey Lauvergne,11.5,2023-11-17,ASV
Chima Moneke,13.5,2023-11-17,BAS
Markus Howard,16.5,2023-11-17,BAS
Matthew Costello,6.5,2023-11-17,BAS
Kostas Sloukas,12.5,2023-11-17,PAN
Marius Grigonis,11.5,2023-11-17,PAN
Ognjen Dobric,6.5,2023-11-17,VIR
Daniel Hackett,7.5,2023-11-17,VIR
Tornike Shengelia,14.5,2023-11-17,VIR
Isaia Cordinier,8.5,2023-11-17,VIR
Tomas Satoransky,8.5,2023-11-17,BAR
Nikola Kalinic,6.5,2023-11-17,BAR
Nicolas Laprovittola,11.5,2023-11-17,BAR
Alex Abrines,6.5,2023-11-17,BAR
Semi Ojeleye,10.5,2023-11-17,PAM
